Date,Close,Open,High,Low
29-Dec-08,2146.55,2121.4,2155.7,2066.7
30-Dec-08,2197.55,2147.7,2207.7,2138.3
31-Dec-08,2187,2215.6,2222.65,2170
01-Jan-09,2280.15,2201.95,2285.6,2197.05
02-Jan-09,2262.8,2287.45,2304,2255.15
05-Jan-09,2318,2265.35,2329.5,2265.35
06-Jan-09,2312.8,2317.9,2332.35,2278.85
07-Jan-09,2178.3,2336.75,2360.55,2109.4
08-Jan-09,2178.3,2336.75,2360.55,2109.4
09-Jan-09,2210,2167.05,2255.55,2125.65
12-Jan-09,2108.4,2172.55,2172.55,2091.25
13-Jan-09,2181.2,2072.25,2207.8,2046.3
14-Jan-09,2262.95,2226.95,2301.75,2217.5
15-Jan-09,2173.55,2176.2,2184.15,2118.75
16-Jan-09,2190.9,2173.1,2199.3,2151.8
19-Jan-09,2171.45,2195.3,2201.2,2146.5
20-Jan-09,2145.45,2148.3,2158.55,2120.2
21-Jan-09,2097.75,2138.95,2142.85,2083.05
22-Jan-09,2106.6,2124.85,2124.85,2066.45
23-Jan-09,2065.15,2091.75,2102.45,2047.3
26-Jan-09,2065.15,2091.75,2102.45,2047.3
27-Jan-09,2147.85,2091.95,2166.65,2091.95
28-Jan-09,2201.25,2132.75,2210.9,2132.75
29-Jan-09,2204.95,2211.45,2223.4,2173.1
30-Jan-09,2225.75,2187.35,2233.8,2167.8
02-Feb-09,2157.35,2213.85,2213.85,2146.25
03-Feb-09,2178,2162.2,2211.4,2147.5
04-Feb-09,2175.6,2186.35,2221.85,2165.8
05-Feb-09,2129.75,2181.65,2187.35,2110.7
06-Feb-09,2185.1,2130.15,2197.55,2130.15
09-Feb-09,2221.15,2187.2,2234.7,2178
10-Feb-09,2234.5,2225.8,2249.6,2208.8
11-Feb-09,2209.15,2208.45,2218.1,2192.35
12-Feb-09,2178.9,2189.8,2199.25,2166.3
13-Feb-09,2191.6,2187.25,2210.95,2183.25
16-Feb-09,2138.15,2188.25,2195.55,2131.5
