day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
30,12,2,2008,0.012397473,0.024122095,0.034644603,1
31,12,3,2008,0.031615216,0.006771753,0.014824861,0
1,1,4,2009,-0.006160859,0.028322048,0.012465438,1
2,1,5,2009,0.03882922,0.008050403,0.026444551,0
5,1,1,2009,-0.009661413,0.011067708,0.004522981,1
6,1,2,2009,0.023197298,0.001223439,0.005959344,0
7,1,3,2009,0.008132361,0.01209081,-0.07435768,0
8,1,4,2009,0,0,0,0
9,1,5,2009,-0.072622232,-0.044481159,0.007703612,1
12,1,1,2009,0.002538013,-0.03679812,-0.016183285,0
13,1,2,2009,-0.046166947,0.016225173,-0.021494322,1
14,1,3,2009,0.074653155,0.042553673,0.083663197,1
15,1,4,2009,-0.022789016,-0.051091561,-0.044532131,0
16,1,5,2009,-0.001424501,0.006936337,0.01559882,1
19,1,1,2009,0.010215821,0.000863911,-0.002463054,0
20,1,2,2009,-0.021409375,-0.019375795,-0.012252504,0
21,1,3,2009,-0.004352279,-0.007273401,-0.017521932,0
22,1,4,2009,-0.006592019,-0.008400028,-0.007969084,1
23,1,5,2009,-0.01557757,-0.010541921,-0.009267101,0
26,1,1,2009,0,0,0,0
27,1,2,2009,9.56E-05,0.030535803,0.021809212,1
28,1,3,2009,0.019503334,0.020423234,0.019503334,1
29,1,4,2009,0.036900715,0.005653806,0.018919236,1
30,1,5,2009,-0.010897827,0.004677521,-0.002438912,1
2,2,1,2009,0.012115116,-0.00893097,-0.009940954,0
3,2,2,2009,-0.023330397,-0.001106669,0.000582411,1
4,2,3,2009,0.01116918,0.004725513,0.008521537,0
5,2,4,2009,-0.002149702,-0.015527601,-0.025440946,0
6,2,5,2009,-0.023605986,0.004663177,0.009214952,1
9,2,1,2009,0.026782151,0.01690519,0.022463207,1
10,2,2,2009,0.017648135,0.006667562,0.014141414,1
11,2,3,2009,-0.00779495,-0.014002489,-0.007447483,0
12,2,4,2009,-0.008444837,-0.008498264,-0.011882227,0
13,2,5,2009,-0.00116449,0.005319995,0.007824401,1
16,2,1,2009,0.000457195,-0.006965332,-0.023703195,0
17,2,2,2009,-0.02579687,-0.029036005,-0.036195168,0
18,2,3,2009,-0.035861713,-0.016160053,0.000486772,0
19,2,4,2009,0.008076483,0.01575798,0.008076483,1
20,2,5,2009,0.01988465,-0.008097071,-0.0174232,0
23,2,1,2009,0,0,0,0
24,2,2,2009,-0.025554267,-0.024016279,-0.01159221,0
25,2,3,2009,0.00182114,0.021479829,0.025170829,1
26,2,4,2009,0.017402686,0.007547349,0.010955451,1
27,2,5,2009,0.002858776,-0.008009046,-0.020738432,0
2,3,1,2009,-0.012922843,-0.013297872,-0.009058636,0
3,3,2,2009,-0.016990759,-0.016509434,-0.014799259,0
4,3,3,2009,-0.018533026,-0.000929868,0.002206841,1
5,3,4,2009,0.01591459,0.000955227,0.000750676,0
6,3,5,2009,-0.017899673,0.018915017,-0.003450518,1
9,3,1,2009,0.027526376,-0.012992315,0.010763749,0
10,3,2,2009,0,0,0,0
11,3,3,2009,0,0,0,0
12,3,4,2009,-0.003844376,0.022287647,0.016283977,1
13,3,5,2009,0.018685425,0.041723194,0.018685425,1
16,3,1,2009,0.046396202,0.013297386,0.038723445,1
17,3,2,2009,0.012809056,-0.003382187,-0.004201196,0
18,3,3,2009,-0.007013575,0.014886878,0.013027655,1
19,3,4,2009,0.002825245,0.007111329,0.007162307,1
20,3,5,2009,0.011087381,-0.007968657,0.003430727,0
23,3,1,2009,0.001662847,0.023026976,0.009306012,1
24,3,2,2009,0.025978105,0.02161443,0.014581838,0
25,3,3,2009,-0.001071413,-0.008795901,0.005859461,1
26,3,4,2009,0.015847652,0.04178513,0.014200611,1
27,3,5,2009,0.033592622,-0.004134965,0.011595899,1
30,3,1,2009,-0.016636091,-0.02071915,-0.036060165,0
31,3,2,2009,-0.026499894,-0.009709561,0.013692236,1
1,4,3,2009,0.00929878,0.022092824,0.004012718,1
2,4,4,2009,0.036571946,0.053137567,0.049226872,1
3,4,5,2009,0,0,0,0
6,4,1,2009,0.051309271,0.01795907,0.027892261,1
7,4,2,2009,0,0,0,0
8,4,3,2009,-0.012829905,0.013754298,-0.015207971,1
9,4,4,2009,0.037405483,0.00371955,0.043758097,0
10,4,5,2009,0,0,0,0
13,4,1,2009,0.002764674,0.000960043,-0.021198211,0
14,4,2,2009,0,0,0,0
15,4,3,2009,-0.060076735,-0.028831214,-0.034820764,0
16,4,4,2009,0.0408607,0.010290748,0.033407712,0
17,4,5,2009,-0.018327651,0.019726681,0.005206336,1
20,4,1,2009,0.012647301,-0.010199778,0.004496818,0
21,4,2,2009,0.011537775,-0.011641421,-0.006255371,0
22,4,3,2009,-0.011896129,7.84E-05,-0.005892527,0
23,4,4,2009,-0.009242731,0.042916773,0.010539945,1
24,4,5,2009,0.057355061,0.000244274,0.036334881,1
27,4,1,2009,-0.004146392,0.014032913,0.011860838,1
28,4,2,2009,0.021255561,-0.002241612,0.007292721,0
29,4,3,2009,-0.013254896,0.032938468,0.004567595,1
30,4,4,2009,0,0,0,0
1,5,5,2009,0,0,0,0
4,5,1,2009,0.058372953,0.080852747,0.058372953,1
5,5,2,2009,0.070769011,-0.001031099,0.029038468,0
6,5,3,2009,-0.024106013,-0.016614504,-0.003793719,0
